City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,grand falls-windsor,48.9332,-55.6649,4.17,92,100,3.37,CA,1698456733
302,vila velha,-20.3297,-40.2925,23.97,94,75,1.54,BR,1698456613
303,honggang,46.4667,124.8667,7.97,24,100,3.13,CN,1698456735
304,krosno odrzanskie,52.0549,15.0988,9.32,96,100,1.42,PL,1698456736
305,burang,30.25,81.1667,1.94,48,100,0.7,CN,1698456736
306,trincomalee,8.5711,81.2335,26.46,81,46,1.81,LK,1698456737
307,kashgar,39.4547,75.9797,14.56,26,20,3.0,CN,1698456738
308,kokpekty,48.75,82.4,-2.21,51,100,1.37,KZ,1698456739
309,akrehamn,59.2667,5.1833,5.79,70,100,2.06,NO,1698456740
310,saldanha,-33.0117,17.9442,11.03,65,2,10.42,ZA,1698456741
311,semibratovo,57.3046,39.5369,-2.08,95,87,4.08,RU,1698456742
312,les cayes,18.2,-73.75,24.86,82,0,3.42,HT,1698456743
313,carnarvon,-24.8667,113.6333,25.23,43,60,8.7,AU,1698456743
314,rawai,7.7797,98.3253,30.55,73,78,2.01,TH,1698456744
315,juegang,32.3174,121.1855,22.17,46,100,2.54,CN,1698456745
316,tolanaro,-25.0319,46.9987,20.0,91,25,5.04,MG,1698456746
317,thunder bay,48.4001,-89.3168,-0.01,80,0,3.6,CA,1698456747
318,kudahuvadhoo,2.6708,72.8944,27.47,78,75,6.08,MV,1698456748
319,porto belo,-27.1578,-48.5531,19.97,95,100,8.06,BR,1698456749
320,stara syniava,49.6032,27.6191,11.11,79,88,14.69,UA,1698456750
321,gustavia,17.8962,-62.8498,25.79,89,100,5.81,BL,1698456750
322,conduaga,8.862,117.4893,29.77,65,58,0.63,PH,1698456751
323,kone,-21.0595,164.8658,27.88,57,51,4.18,NC,1698456752
324,tandur,17.2333,77.5833,20.7,53,0,2.13,IN,1698456753
325,st anne,49.715,-2.2042,11.25,77,96,14.2,GG,1698456754
326,micheweni,-4.9667,39.8333,25.44,86,100,2.05,TZ,1698456755
327,sinop,41.7711,34.8709,17.07,44,78,3.58,TR,1698456631
328,coquimbo,-29.9533,-71.3436,13.85,82,0,2.06,CL,1698456644
329,znamenskoye,57.1281,73.8282,-5.56,91,100,2.96,RU,1698456578
330,kincardine,56.0667,-3.7167,11.07,93,99,5.42,GB,1698456758
331,adre,13.4667,22.2,24.53,54,91,1.41,TD,1698456759
332,manaure,11.7751,-72.4445,27.65,77,54,4.28,CO,1698456760
333,alofi,-19.0595,-169.9187,25.94,65,15,8.75,NU,1698456760
334,nar'yan-mar,67.6713,53.087,-14.38,96,7,2.24,RU,1698456761
335,waiuku,-37.25,174.75,17.7,48,100,1.47,NZ,1698456762
336,trebes,43.2106,2.4417,11.03,88,0,0.51,FR,1698456684
337,kamina,-8.7386,24.9906,17.74,97,99,1.64,CD,1698456764
338,kendari,-3.945,122.4989,31.36,51,70,2.1,ID,1698456765
339,turkmenbasy,40.0222,52.9552,18.37,82,100,2.37,TM,1698456765
340,waingapu,-9.6567,120.2641,31.02,57,26,4.19,ID,1698456766
341,yulin,22.6333,110.15,24.93,80,57,2.06,CN,1698456767
342,seeb,23.6703,58.1891,26.05,73,0,1.03,OM,1698456768
343,yauya,-8.9833,-77.3,12.46,78,100,1.17,PE,1698456769
344,iron river,46.0927,-88.6423,3.42,72,100,5.97,US,1698456770
345,fada,9.5667,8.3,20.13,91,5,0.92,NG,1698456770
346,narvik,68.4384,17.4272,-0.11,90,44,0.99,NO,1698456251
347,tharangambadi,11.0319,79.8528,27.49,75,55,0.79,IN,1698456772
348,krasnyy yar,46.5331,48.3456,11.96,89,93,4.4,RU,1698456773
349,tocopilla,-22.092,-70.1979,17.32,67,19,0.62,CL,1698456523
350,mumbai,19.0144,72.8479,25.99,61,0,2.57,IN,1698456220
351,vanimo,-2.6741,141.3028,27.32,75,100,0.43,PG,1698456775
352,pisco,-13.7,-76.2167,19.03,82,40,7.72,PE,1698456776
353,ugoofaaru,5.6667,73.0,27.86,77,100,4.5,MV,1698456777
354,pontianak,-0.0333,109.3333,27.99,78,40,2.06,ID,1698456778
355,aykhal,66.0,111.5,-11.96,95,86,6.29,RU,1698456779
356,franklin,39.9667,-83.0166,19.45,91,20,3.6,US,1698456779
357,saint croix,17.7397,-64.7388,26.25,93,100,3.6,VI,1698456780
358,salima,-13.7804,34.4587,25.06,64,5,1.87,MW,1698456781
359,san luis de la loma,17.2706,-100.8939,26.55,87,100,2.61,MX,1698456782
360,fauske,67.2588,15.3918,1.02,96,96,0.91,NO,1698456783
361,venezuela,8.0,-66.0,28.21,70,78,2.99,VE,1698456784
362,kotma,23.2,81.9667,18.44,53,3,1.18,IN,1698456785
363,calama,-22.4667,-68.9333,13.27,19,0,6.69,CL,1698456786
364,jianshui,23.6363,102.8264,20.11,82,89,1.13,CN,1698456786
365,new norfolk,-42.7826,147.0587,17.72,33,100,4.36,AU,1698456787
366,darnah,32.767,22.6367,21.6,80,20,1.39,LY,1698456788
367,kirensk,57.7853,108.1119,-0.58,68,100,4.47,RU,1698456789
368,awjilah,29.1081,21.2869,20.39,63,0,1.53,LY,1698456790
369,sabha,27.0377,14.4283,23.85,22,97,2.62,LY,1698456791
370,east end,34.5507,-92.341,22.94,94,26,1.24,US,1698456791
371,kitimat,54.0524,-128.6534,1.49,72,2,0.63,CA,1698456792
372,ati,13.2154,18.3353,28.66,17,69,2.34,TD,1698456793
373,sun prairie,43.1836,-89.2137,4.94,81,100,5.14,US,1698456794
374,san fernando del valle de catamarca,-28.4696,-65.7852,24.87,54,2,0.89,AR,1698456795
375,prince rupert,54.3161,-130.3201,7.83,65,0,2.57,CA,1698456796
376,clarksville,36.5298,-87.3595,20.14,91,20,2.06,US,1698456797
377,tralee,52.2704,-9.7026,8.86,96,100,2.82,IE,1698456797
378,remire-montjoly,4.9167,-52.2667,26.02,94,20,0.0,GF,1698456798
379,turkestan,43.3333,68.25,13.61,42,21,2.93,KZ,1698456799
380,ta`u,-14.2336,-169.5144,26.21,84,97,9.91,AS,1698456800
381,pandan,14.0453,124.1694,29.62,69,41,4.24,PH,1698456801
382,nuku'alofa,-21.1333,-175.2,26.19,69,20,7.72,TO,1698456802
383,harstad,68.799,16.5293,0.34,88,44,1.34,NO,1698456682
384,mirnyy,62.5353,113.9611,-0.98,63,100,7.15,RU,1698456804
385,mana,5.6592,-53.7767,27.07,84,10,4.94,GF,1698456805
386,la passe,45.5549,-0.8967,13.32,81,86,8.69,FR,1698456806
387,illizi,26.4833,8.4667,24.89,23,99,1.22,DZ,1698456807
